ID,NG,EG,H,g,X,Y,Hnorm,Z,TCR
1496.0,385431.130438,355579.616971,127.3000995390694,981145.7504945198,385300.0,355500.0,127.207,1.927,1.3542400338718255e-08
1497.0,384064.591694,359270.294413,124.0,981151.196455878,383800.0,359000.0,130.819,1.923,1.0188938540434019e-08
1500.0,373226.94386000006,356890.173773,118.0,981148.49917396,373100.0,356900.0,118.983,1.958,1.3331353577043505e-08
1501.0,378149.259234,359714.445012,126.91266533722228,981149.2815460492,378300.0,359500.0,120.167,1.935,6.740149917789643e-09
1502.0,381352.116328,356908.393509,138.92867656286822,981145.9662089084,381500.0,356900.0,135.165,1.934,1.3491441974272299e-08
1505.0,371574.5589940001,355104.674236,123.9179534258729,981148.0218077528,371800.0,355000.0,122.235,1.968,9.948038274874422e-09
1506.0,366614.707166,352744.837839,127.27612014722764,981149.7239607758,366800.0,353000.0,124.452,1.991,9.842471534331611e-09
1507.0,369009.652537,357386.000114,116.21499209548529,981152.2839388507,368900.0,357300.0,117.868,1.97,1.3255346310447834e-08
1508.0,373118.882741,356503.797702,117.0,981148.381723046,373300.0,356500.0,121.438,1.959,1.3323651612167773e-08
1509.0,371746.119788,352645.824616,118.0,981145.6766533956,371800.0,353000.0,119.505,1.975,9.9161654545654e-09
1512.0,372293.102089,359412.629989,116.34025296445093,981151.287888238,372300.0,359250.0,117.184,1.953,1.0019785769969778e-08
1514.0,378129.439663,355838.849881,127.05668923290378,981144.1406687916,377800.0,356000.0,126.655,1.947,1.0053248889324707e-08
1515.0,376732.143995,356350.097103,125.0,981145.636743661,376800.0,356000.0,125.434,1.95,1.0039527016489522e-08
1516.0,379908.866798,355218.285845,125.0,981143.2328733818,379800.0,355000.0,127.551,1.944,1.0068987844102842e-08
1517.0,380860.351552,351630.124626,122.62892051036395,981139.2411268656,380800.0,352000.0,124.271,1.949,1.0033987020422833e-08
1519.0,358576.502652,354717.662628,123.45033033874098,981159.4450750712,358800.0,355000.0,124.57,2.009,9.753909227429112e-09
1524.0,357970.076591,352179.964138,126.0,981158.3883196006,358300.0,352000.0,126.358,2.022,3.2346315990631147e-09
1525.0,360107.408811,352741.343096,132.0,981156.6428266908,359800.0,353000.0,130.289,2.014,9.743396028519348e-09
1526.0,358051.699751,352254.04183000006,125.82982965200064,981158.276406293,358300.0,352000.0,126.358,2.022,3.2350411154479813e-09
1530.0,357764.011711,357847.14771,121.49729269733996,981161.4482996084,358300.0,358000.0,120.641,1.999,3.262737402705228e-09
1531.0,359365.263352,355546.143738,120.4782223228758,981159.0251631232,359300.0,355500.0,124.686,2.006,1.3032142964358513e-08
1532.0,357782.7228950001,355876.239663,126.0,981160.3836132706,358300.0,356000.0,125.419,2.007,3.253019443923984e-09
1537.0,360271.763331,355307.967208,131.0,981157.916131742,360300.0,355500.0,126.916,2.003,1.3048435154444322e-08
1538.0,363299.545357,358219.95141,125.0,981157.5248087296,363300.0,358250.0,122.706,1.983,9.871136590201892e-09
1539.0,362155.938698,357864.33483599994,122.65049686785588,981157.9492672218,361800.0,358000.0,123.779,1.989,9.848053962147402e-09
1540.0,358067.071201,356229.280689,126.0,981160.5114726826,358300.0,356000.0,125.419,2.007,3.254675157321174e-09
1542.0,357933.62178,358465.88262,121.3613205415287,981161.8650575122,358300.0,358500.0,122.241,1.997,6.5318941723348364e-09
1543.0,360951.2825089999,357643.278772,124.34059635832637,981158.787970152,360900.0,357700.0,125.039,1.993,1.3105353668580081e-08
1544.0,357866.39244,358304.35484,121.9654152973946,981161.8290378252,358300.0,358000.0,120.641,1.999,3.2643080890966074e-09
1559.0,358974.446267,358690.465479,119.09544926469243,981161.3166165588,358800.0,359000.0,123.584,1.994,9.815793568953373e-09
1560.0,357688.617762,359147.334584,121.0,981162.8109370488,358300.0,359000.0,123.649,1.995,3.268382813602564e-09
1595.0,363326.640769,359601.558001,122.79609600495678,981158.5962885986,363300.0,359250.0,123.349,1.98,9.889070536080218e-09
1596.0,369504.991949,354340.724117,129.90020062253228,981149.0842821456,369700.0,354300.0,120.116,1.977,1.3210256045802244e-08
1597.0,363987.638341,353861.30048,131.0,981153.1522143224,363800.0,354000.0,129.889,1.997,9.816956927005487e-09
1598.0,365019.528691,356767.596312,121.167426350338,981154.4082642194,364800.0,357000.0,119.964,1.983,9.875588638965357e-09
1599.0,361290.76113,357202.181716,125.0,981158.1119936858,361300.0,357250.0,125.031,1.993,9.826704137529792e-09
1600.0,362569.85723,351398.562214,131.0,981152.8658065498,362700.0,351300.0,132.326,2.01,1.3015131388509482e-08
1686.0,385433.501029,359723.775354,126.36318274677495,981153.0371425956,385300.0,359500.0,127.479,1.918,6.810326417507003e-09
1724.0,385661.792172,355427.027723,126.0,981145.5000568395,385700.0,355300.0,127.73,1.927,1.3545453609005367e-08
3196.0,383957.717785,356075.914769,126.34201709435,981146.2813198268,383800.0,356000.0,128.403,1.93,1.0141756463144003e-08
3197.0,379541.291354,356814.951737,134.0,981145.5319260012,379800.0,357000.0,131.274,1.938,1.0092690684676557e-08
3198.0,374780.705678,359128.27814,119.0,981149.1870976952,374800.0,359000.0,119.804,1.947,1.005325764349593e-08
4985.0,359452.873025,338016.221086,139.18654165180487,981152.7212532152,359800.0,338000.0,141.689,2.06,9.518546164839404e-09
4986.0,365893.321727,340566.964432,136.57544293492364,981144.1866752044,365900.0,340700.0,138.031,2.031,1.2866236117882038e-08
4987.0,363745.009151,335754.853195,149.43684351954244,981142.9789510958,363800.0,336000.0,147.458,2.05,9.547452237781223e-09
4988.0,366755.53063100006,341200.183899,136.87586492195624,981142.2563932346,366800.0,341000.0,138.538,2.027,9.669120654958731e-09
4989.0,362156.813818,340152.419025,139.0,981148.325291538,362100.0,340100.0,140.791,2.046,1.2781624146835217e-08
4990.0,366613.52278,344163.822361,132.2327059150837,981143.7837716946,366800.0,344000.0,133.413,2.019,9.712271183061397e-09
4991.0,361568.593722,342420.651144,134.0,981150.3803278976,361700.0,342300.0,135.378,2.041,1.2818143875624894e-08
4992.0,371252.219272,333047.512666,151.4773104141846,981128.1112015324,371300.0,333000.0,151.593,2.028,1.6025090392501067e-08
4993.0,370072.682625,330790.544612,148.0,981127.6475364222,369800.0,331000.0,149.951,2.038,9.563324757130968e-09
4994.0,375930.542175,334022.225499,138.0,981120.038309248,375800.0,334000.0,143.586,2.008,9.696087016154168e-09
4995.0,379411.058326,330483.714496,149.0,981115.2062674672,379300.0,330750.0,148.881,2.001,9.696565212986753e-09
4996.0,376676.299864,332121.623559,152.06584962352642,981118.442280689,376800.0,332000.0,141.796,2.008,9.679564315227081e-09
4997.0,373224.443016,332239.2190040001,146.25880746314886,981123.2889719916,373100.0,332100.0,148.64,2.023,1.2838500435950392e-08
4998.0,370129.821605,335886.604122,146.0,981132.5712528042,369800.0,336000.0,145.371,2.028,9.639031733841798e-09
5000.0,370438.07755100005,334857.789469,146.0,981130.9919168998,370500.0,334900.0,146.4,2.027,1.2840552145155555e-08
5001.0,369265.457671,333308.730945,148.3541684325246,981132.1990460374,369300.0,333500.0,147.827,2.035,1.278908287221379e-08
5002.0,370537.453485,337332.6410339999,144.6328662287051,981132.4665988234,370800.0,337000.0,144.982,2.022,9.667442372940036e-09
5003.0,368844.87506,332488.546532,151.0,981131.5441387716,368800.0,332500.0,150.045,2.039,1.5952397517865423e-08
