0,TCR,Hnorm,Height_diff
4574,0.16047483688657524,187.616975,5.74593
4575,0.11082846600573411,180.239751,3.965353
4576,0.17046602686279042,172.328379,6.104587
4577,0.11861153854493309,188.0,5.307755
4578,0.053291960243544566,188.7835,2.381855
4579,0.04462263647143299,176.130607,1.594984
4580,0.016586433157908986,190.0,0.592615
4581,0.0,161.0,0.0
4582,0.11811309987624072,166.392434,5.285401
4583,0.016640856109650055,173.888578,0.743246
4584,0.05207625672534577,167.481689,2.327467
4585,0.029941423967446288,165.190675,1.069987
4586,0.39431547527286526,183.0,14.168622
4587,0.1721174485964174,169.0,6.163879
4588,0.8880105566470098,302.0,40.327183
4590,1.270994440070162,490.988567,70.148626
4591,0.38983679751809885,216.89083,14.006743
4592,3.3648350995683236,546.125306,126.881395
4593,0.5268123329295296,255.256994,18.967673
4594,0.1751715494037553,175.994156,6.27354
4595,0.6230159392145622,209.638003,22.46443
4596,0.006468126672677955,150.778323,0.173294
4597,0.5524182127322281,188.87479,9.907106
4598,0.34715319447796855,203.07219,12.465078
4599,0.11953511550869869,167.0,4.277427
4600,1.810156452182999,155.0,16.275093
4601,0.24291043170880397,217.525334,13.086524
4602,0.13344392374957895,205.0,5.97315
4603,0.024123699141442276,150.0,0.86201
4604,0.25220539710845286,159.0,9.042868
4605,0.10448326202937909,160.0,3.737972
4606,0.055967591168390125,157.0,1.0
4607,0.22089547204529258,182.13911,7.916516
4608,0.3325138663373354,192.0,11.936789
4609,0.08992717879240876,189.653425,4.828021
4610,0.0636726384774583,149.920138,2.276551
4611,0.045375068408311466,154.613364,1.621897
4612,0.13679523371969873,151.0,7.352026
4615,0.2836229913659625,184.953871,10.174165
4616,0.16890206946874362,180.173731,6.048438
4617,0.3316354706641435,223.677198,14.900057
4618,0.11400874861704927,239.113336,4.079335
4619,1.0450727436819895,445.738151,47.606554
4620,0.5676799967549198,314.779703,20.451843
4621,0.007026097667594668,419.0,0.250999
4622,0.001096480301421754,357.316206,0.039167
4623,0.17179550533232238,158.553983,7.69536
4624,0.07518988406141039,202.353724,3.361945
4625,1.0409726934251766,287.493762,18.738102
4626,0.7427608840776723,384.18678,26.831407
4627,0.08790412758724041,305.079877,3.144061
4628,0.7426841121117846,204.068971,26.828602
4629,0.24366164425487735,251.879145,8.735407
4630,0.018920607948493803,149.771107,0.676036
4631,0.060879795888956395,146.377534,2.176605
4632,0.1494368506975556,157.264915,5.349821
4633,0.03764157303799099,149.695934,1.345314
4634,0.16256733333772397,150.982878,7.280734
4635,0.0495496306091315,152.0,2.214439
4636,0.0315219172900997,151.871708,1.408283
4637,0.0512599664599145,143.360067,1.832409
4638,0.06531101526982973,155.331222,3.504489
4639,0.13756593005040454,161.080283,6.158133
4640,0.0029746379154177143,150.095445,0.106259
4641,0.05857214907006885,142.0,3.142417
4642,0.08854975445280748,161.456414,3.96029
4643,0.031584147022032265,153.0,1.128719
4644,0.010157960380708417,161.456424,0.362898
4645,0.30273582914805436,183.107257,10.862914
4646,0.11960437453899522,166.139249,5.352283
4647,0.03328482569088972,155.0,1.784732
4648,0.10123159656313005,165.361816,3.621465
4649,0.27645440339875194,202.098043,9.915941
4650,0.030576205285359336,150.0,1.366008
4651,0.15481233972096936,166.248936,6.93241
4652,0.0620020001943777,166.518155,2.771596
4654,0.005171259311642663,151.0,0.184732
4655,0.023407802294839783,148.0,0.83642
4656,0.0007723018874895629,152.0,0.027587
4657,0.006133133437582581,152.0,0.219096
4658,0.052310692388889905,158.194718,1.869999
4659,0.026008932981047086,151.0,0.929401
4660,0.029059082998946446,152.738649,1.038442
4661,0.030064997400157972,155.330136,1.074405
4662,0.018186245002409583,197.213709,0.64979
4663,0.2226027594112917,166.369727,7.977907
4664,0.2670469370878987,191.0,9.577154
4665,0.7320669474596972,293.284538,33.144505
4666,0.2864618578394255,559.110106,10.276441
4667,0.013399593375653274,152.178937,0.47873
4668,1.7610605973122357,518.0,64.64521
4669,0.10266222324051877,150.214019,5.513319
4670,1.7244721201628923,338.863207,63.264801
4671,0.6659188057551507,355.777694,30.111061
4672,0.35482998354527084,238.134016,12.742204
4681,0.032836133687633856,176.0,1.173483
4682,0.07699041302675894,187.000299,2.753262
4691,0.09088635519693884,206.0,3.250871
4692,0.026169966875299253,183.0,1.169061
4693,0.013763588655168068,179.989587,0.614703
4694,0.023550507297270103,181.844224,0.841521
4695,0.3694065620843319,182.970973,13.268585
4696,0.022134620761563032,202.0,0.790911
4698,0.03354419418206789,213.752513,1.1988
4699,0.15051269625096178,195.0,5.388423
4701,0.129197361761385,212.520737,4.623848
4702,0.24415238597351155,216.283512,8.753065
4703,0.1932865192417279,209.233984,6.924186
4704,0.24513640430979353,207.102331,8.788473
4705,0.6704373312730789,228.230326,30.318023
4706,0.03446832055998058,181.0,1.540002
4707,0.06968643732456703,198.441716,2.491792
4708,0.025588960024958203,181.334272,0.914388
4709,0.014206201549208217,179.495172,0.634476
4710,0.08713239718162662,196.727126,3.896797
4711,0.005954022717035961,168.0,0.212697
4712,0.055916460407202,178.0,2.499278
4713,0.06510412237145843,179.0,2.327782
4719,0.033868084152955315,194.382599,1.210381
4725,0.17883562895990748,200.1614,9.620598
4726,0.12602959948989925,215.019944,4.510263
4727,0.14178478601140004,216.0,6.347492
4728,0.20573282546993588,213.939516,7.371433
4729,0.03337750750999708,213.876422,1.19284
4730,0.3092262463019546,218.514928,11.096893
4731,0.013837387525807328,218.126154,0.741638
4732,0.017668437556300553,217.797305,0.631284
4733,0.01458599444440852,234.385607,0.521126
4735,0.13467358815148786,241.440777,4.820232
4737,0.038540082373964064,214.6597,1.722054
4738,0.03368308046418233,208.116651,1.203766
4739,0.006732400710421542,201.045817,0.30064
4741,0.23651599560257844,231.596571,8.47832
4742,0.05773890649745797,217.253095,2.580823
4743,0.2034908791423757,211.903618,9.120547
4744,0.1631026214906204,214.028784,5.84025
4747,0.08590586357008606,224.346745,3.841855
4754,0.011714285173901723,208.0,0.523158
4755,0.08214682955376557,241.113875,2.20274
4756,0.19796590731572042,248.411988,7.092316
4757,0.2646631494735255,225.0,9.491323
4758,0.013742539119810321,229.0,0.490985
4759,0.13456130918964732,211.604065,6.023292
4760,0.135255623542617,161.0,6.05445
4761,0.10086702143590213,153.222029,3.608403
4762,0.07638843377929992,173.985111,2.73171
4763,0.12984908380353977,154.0,5.811848
4764,0.23522027792400937,180.889312,12.670015
4765,0.0003568002474879244,155.144256,0.012745
4766,0.010059166146137359,156.592899,0.359368
4767,0.019858250177509307,155.0,0.709548
4768,0.0013144778969086733,166.776122,0.058693
4769,0.39920536093633857,205.704466,17.958935
4770,0.32731646444983,171.0,11.749287
4771,0.009873640264122406,207.51329,0.44094
4772,0.19443546389406058,159.0,8.713195
4774,0.0033628506412521648,153.0,0.150161
4775,0.212236513444427,221.167979,7.605204
4776,0.08788109925516659,200.777671,3.930336
4777,0.008368256356995613,192.343988,0.298952
4778,0.07433335164834282,223.403319,3.989421
4779,0.10216634989613181,341.0,3.654956
4782,0.18367917046926183,264.718444,8.229511
4783,1.034254400611651,244.371459,37.530391
4784,0.13713092600660554,212.871769,6.13861
4785,0.7759645731064453,371.808945,35.161933
4786,0.1657194457481732,554.767849,5.934184
4787,0.4158068304181525,282.0,22.489704
4788,0.4274213768349503,177.27704,15.3659
4789,0.18358389392883576,194.917286,6.575647
4790,0.018357068699426007,178.807205,0.819925
4791,0.19148982313148002,177.947637,10.304287
4792,0.11813628567539243,184.647167,4.227283
4793,0.019192261646926147,182.0,0.685745
4794,0.11314305331917401,188.361577,5.062527
4795,0.35951970348909784,178.0,12.911531
4796,0.007398273378350136,165.0,0.264296
4797,0.015026962441757975,186.872597,0.671143
4798,0.0486433867085047,166.869994,2.173901
4799,0.11394680109591086,169.586038,5.098567
4800,0.1752725857976931,178.262637,6.277168
4801,0.050068016587364254,161.71517,2.237628
4802,0.00957672712685749,193.0,0.427678
4803,0.04076301685003591,167.788702,1.821455
4804,0.014233235076618342,190.0,0.50852
4805,0.035586625942222325,182.154112,1.271831
4806,0.15171653629979096,189.671871,5.431619
4807,0.2125601060058934,195.0,9.52866
4808,0.08486011587123553,183.735753,3.035048
4809,0.0240563344308673,185.911199,0.859602
4810,0.027563679520257272,161.0,0.984981
4811,0.10939364219493834,161.0,4.894418
4812,0.10359261263412806,182.621649,4.634369
4813,0.0026382074762363074,161.0,0.117802
4814,0.12779056069031244,160.056152,5.719491
4815,0.05121172004574745,155.004943,1.830683
4816,0.1383400427391417,155.0,6.192876
4817,0.11370209510015293,167.569308,4.068344
4818,0.01583080858245558,154.744515,0.565611
4819,0.004421888673748306,153.302293,0.197454
4820,0.10816150701142975,143.569582,3.869777
4821,0.11848728187420228,142.0,4.239865
4823,0.07581652669782633,151.173748,2.711235
4824,0.022284770162198868,163.538072,0.99543
4825,0.000684917007252552,146.527684,0.030582
4826,0.031555926160138005,144.811135,1.12771
4827,0.14387736200338858,147.36617,5.150363
4828,0.1567779965612281,136.111589,7.02069
4829,0.15667997979594211,136.0,5.609733
4830,0.03134246387078123,154.0,1.400261
4831,0.0989805564970314,138.069016,3.540817
4832,0.01084920403225389,141.82821,0.387597
4833,0.09898694373721263,138.0,4.427946
4834,0.09239257872641818,143.426027,4.132453
4835,0.049129063506597556,144.891727,1.756179
4836,0.01842765817152471,140.918413,0.658418
4837,0.024621992375808668,146.0,0.879822
4838,0.03218324671400871,149.340562,0.862501
4839,0.05025479983733275,148.0,1.79645
4840,0.011737500072479931,141.229342,0.524195
4845,1.710044911145761,275.291587,30.940277
4851,0.43156682266901225,185.631112,11.617939
4854,0.3237417744571503,180.991242,5.796038
4865,0.21936261302833404,149.0,9.834863
4866,0.05443971592072879,164.459303,1.946169
4867,0.02692356778584431,162.806233,1.443436
4868,0.008535781323657583,175.952417,0.381184
4869,0.24407134655806456,167.820637,8.750149
4870,0.029909789319227675,167.497366,1.068856
4871,0.06740357242696622,137.0,2.410081
4872,0.09235796155943592,166.0,4.130902
4873,0.13386736912321703,167.0,4.791318
4874,0.019014787448642097,141.214324,0.679402
4875,0.03996153740264723,154.83928,1.785615
4876,0.0595707296450567,135.0,2.129761
4877,0.14071478630495318,143.352141,5.036914
4878,0.22641326697130937,147.52135,4.050586
4879,0.023846825959352374,148.19103,0.852113
4880,0.018013942390832316,144.393658,0.804594
4881,0.0987779038793198,139.8157,2.64919
4882,0.026270151101514278,146.072077,0.938739
4883,0.015179507893731214,143.0,0.677958
4884,1.4621246410006106,261.089179,39.831276
4896,0.08742017805396686,237.703517,3.126729
4903,0.993265708700539,246.557465,17.872856
4914,0.9062357046851253,265.998475,16.29605
4915,0.11377580826725386,255.17117,4.070986
4916,0.15942781641540082,222.169774,5.708351
4917,0.16350924682584606,235.76961,7.323048
4924,0.09031503114328517,231.22999,3.230408
4925,0.10220986185752863,224.0,3.656515
4940,0.21778343926825386,267.081996,7.804621
4944,0.11290312857171385,231.0,5.051769
4945,0.19882430916225383,185.247892,5.338389
4947,0.4740455976861324,173.356386,8.496552
4956,0.17304122838136723,147.0,3.094513
4958,0.08337876391153405,152.344688,2.982001
4966,0.050556135912837294,153.0,1.355167
4967,0.14852267378400166,150.239876,2.655559
5110,0.0581565877173578,150.915579,2.079159
5140,0.024989754028710155,147.707474,0.446401
