ID,Xp,Yp,Hp,g,X,Y,Hnorm,Z,TCR
1380.0,326156.755834,356493.778322,155.0,981144.72918074,326300.0,355500.0,159.15,2.06,8.227110564345752e-06
1381.0,325212.808849,353344.511532,184.0,981139.5897867528,325300.0,352500.0,184.877,2.073,7.3352261525794846e-06
1382.0,322213.924236,355608.10341,175.0,981143.2416343064,322300.0,354500.0,179.0,2.063,9.88493979711128e-06
1383.0,321851.081243,353172.9797809999,181.2052592122517,981138.937212194,321300.0,352500.0,179.0,2.07,8.978586746244982e-06
1384.0,320704.92315,353648.931404,177.0,981139.5420530756,320300.0,353500.0,174.154,2.065,4.087229071518352e-06
1389.0,322414.682888,357430.626726,168.3847522301403,981145.9602186177,322300.0,356500.0,165.145,2.054,1.0150067643876751e-05
1390.0,323280.117759,359607.49237,163.297436428722,981148.8495545547,323300.0,358500.0,168.569,2.046,7.896493860925975e-06
1803.0,329760.429319,358273.286758,154.5342173368734,981149.1727909974,329300.0,357500.0,155.0,2.052,9.04928835371718e-06
1804.0,331444.596941,356265.881982,155.9831105006337,981149.8426138269,331300.0,355500.0,159.415,2.06,8.877110766437582e-06
1805.0,331645.404432,357526.134054,158.3507657691734,981151.5964972659,331300.0,356500.0,156.0,2.056,1.3391623764491753e-05
1806.0,331045.708092,355196.291046,160.0480071098613,981147.0146307198,330300.0,354500.0,168.778,2.064,1.0598994138470036e-05
1807.0,333674.155209,356632.653892,157.2119190086934,981155.1637306141,333300.0,355500.0,166.544,2.059,1.4719781658885097e-05
1808.0,332491.964496,355789.397339,164.8738288286895,981151.3014122166,332300.0,355500.0,162.15,2.059,3.5344026749932073e-06
1809.0,334029.567793,354928.144245,159.0,981153.120284189,333300.0,354500.0,171.0,2.063,8.52280845693844e-06
1810.0,335777.402596,354574.892432,161.0,981156.9652632623,335300.0,353500.0,152.0,2.065,1.5183955975774678e-05
1811.0,334850.243705,354047.922853,157.0,981153.3141730276,334300.0,353500.0,160.581,2.066,8.072604027208147e-06
1812.0,338159.264701,358122.728587,145.0,981168.8761792069,337300.0,357500.0,145.0,2.046,1.0914534295317561e-05
1813.0,340075.444167,357721.063571,140.8586367833013,981171.3178854418,339300.0,357500.0,142.854,2.044,7.355122238203935e-06
1814.0,340243.927222,354403.44178,140.0,981164.8640687853,340300.0,353500.0,143.733,2.059,8.270772531409003e-06
1815.0,335902.822277,357117.548486,154.4032145652535,981162.1387612171,335300.0,356500.0,158.148,2.052,8.974149247748464e-06
1816.0,334899.458375,358876.185376,159.990964897348,981161.0395140721,334300.0,358500.0,160.197,2.045,7.189143108608335e-06
1818.0,340177.516608,359098.4822869999,134.2286160606091,981173.1623623774,339300.0,358500.0,143.253,2.04,1.4499963237166685e-05
1820.0,327984.912888,357219.321143,153.0,981146.7817195356,327300.0,356500.0,154.852,2.056,1.0317744846575582e-05
1821.0,330870.487622,353526.194028,169.0,981144.4603324824,330300.0,352500.0,164.0,2.073,1.951370838003313e-05
1822.0,332999.319266,358276.880748,161.4853870596307,981155.201025441,332300.0,357500.0,159.774,2.051,1.0851840765937104e-05
1823.0,329445.483433,359769.244324,159.0255256733435,981150.0892846158,328300.0,359500.0,155.858,2.043,6.978406820654338e-06
1824.0,329450.095927,354826.024235,169.9568741348958,981144.4119182493,329300.0,354500.0,169.0,2.064,3.4888384481533427e-06
1825.0,329421.28458,353394.902215,162.0,981142.5253397648,329300.0,352500.0,175.0,2.073,9.898155713576162e-06
1826.0,328186.55073,355550.40339,157.3843607040326,981144.4752680084,328300.0,354500.0,159.337,2.064,9.082982569780048e-06
1827.0,329955.964889,358232.2642910001,156.5373851546174,981149.4233659847,329300.0,357500.0,155.0,2.052,1.0201489845478678e-05
1828.0,328891.152509,358479.086903,157.082340304114,981148.2694354902,328300.0,357500.0,151.592,2.052,1.9192965551394185e-05
1829.0,337177.918224,358178.447062,147.0,981166.6844297426,336300.0,357500.0,148.0,2.047,1.527926389743445e-05
1831.0,326418.816208,359315.037472,151.0,981147.8235546121,326300.0,358500.0,154.0,2.048,6.810639738223071e-06
1832.0,325521.929665,354958.425681,166.1601581077334,981141.9523253571,325300.0,354500.0,176.847,2.065,4.978768958510647e-06
1833.0,326426.240238,358321.860166,155.0,981147.0063743007,326300.0,357500.0,155.0,2.052,9.22262460969334e-06
1834.0,326838.361703,359045.876552,152.1131312485007,981147.7637031293,326300.0,358500.0,154.0,2.048,7.968710562127482e-06
1835.0,324797.368981,353393.8899739999,183.0,981139.5627446247,324300.0,352500.0,178.823,2.073,1.0192122427004237e-05
1840.0,333440.466814,354855.42577,170.0,981152.0092729065,332300.0,354500.0,166.226,2.064,1.4715510278916212e-05
1841.0,333552.939852,353735.351137,164.0,981149.7343932079,333300.0,353500.0,167.154,2.067,3.589299632927364e-06
1842.0,339190.7891,359643.821259,139.8347261552663,981172.6456050267,339300.0,358500.0,143.253,2.04,7.55643135945292e-06
1843.0,340006.709281,355859.885323,145.0,981167.7869799366,339300.0,355500.0,146.0,2.052,7.859429188926173e-06
1844.0,339704.828658,354320.038127,144.818567253192,981164.1110778755,339300.0,353500.0,144.345,2.061,8.995794230115924e-06
1845.0,337015.53167,355133.801152,156.4155758528624,981161.049749122,336300.0,354500.0,152.766,2.06,9.927651894805425e-06
1846.0,338088.167611,355696.4338729999,151.2131977810204,981164.1620115815,337300.0,355500.0,157.563,2.055,7.264909214566268e-06
1857.0,320429.208251,358506.036944,174.6466714929441,981147.8976353509,320300.0,357500.0,167.201,2.048,8.263547483378447e-06
1874.0,321997.877899,357684.627146,169.0,981146.3866575164,321300.0,357500.0,167.203,2.049,6.527099405732854e-06
1875.0,321362.1510519999,358873.629989,176.3844825932738,981148.9026700372,320300.0,358500.0,173.029,2.044,1.414628701426849e-05
1876.0,322790.9287330001,359816.629342,155.8427007997289,981149.2437519799,322300.0,359500.0,167.794,2.041,1.9732007525105404e-06
1884.0,346214.069465,358734.266463,130.1914446936959,981171.5940180335,345300.0,358500.0,129.603,2.03,8.476050957321182e-06
1885.0,340892.931607,357188.101686,145.0,981171.3402010582,340300.0,356500.0,146.036,2.046,9.422819031416317e-06
1886.0,347301.830674,358092.155169,133.0,981170.2360406581,346300.0,357500.0,133.0,2.032,1.9580139998287938e-05
1887.0,343888.038837,357023.067594,130.0,981170.7947923295,343300.0,356500.0,134.503,2.041,8.179222232312455e-06
1888.0,343745.1564740001,356674.106142,130.046921884365,981170.3735778691,343300.0,356500.0,134.503,2.041,4.564924166317903e-06
2922.0,339574.860922,357650.201406,140.5365716128872,981170.8811261095,339300.0,356500.0,149.647,2.048,1.393359345337944e-05
2923.0,337948.102941,358366.275883,143.3777975069482,981168.7917130359,337300.0,357500.0,145.0,2.046,1.484234703180899e-05
2932.0,339874.560839,354780.384875,139.8416567940149,981165.3116360465,339300.0,354500.0,141.0,2.056,6.2989334532222505e-06
2933.0,344206.288619,356416.729413,131.0,981169.4192023939,344300.0,355500.0,133.0,2.044,8.041176048333687e-06
