OBJECTID_1;NG;EG;2b
4543;333973.210859;331663.35633399995;1546.5014776830794
4545;334702.0210499999;333075.704682;1517.2143171043135
4546;340749.970963;327464.60394;1260.3913854770362
4547;343485.588064;326749.31023;1147.1303221395938
4548;345107.646486;325961.476777;1075.808994708117
4549;346368.525875;325261.36716;1021.6428625769913
4550;345269.758843;324687.82181;1073.2524804563727
4551;347302.211761;326751.81898100005;980.3587161126779
4552;341416.272903;322416.364307;1239.2945081355283
4553;341792.203266;324027.864056;1221.758276449982
4554;344599.797974;327233.8643240001;1106.0641184628475
4555;343414.62156199996;328595.498679;1150.0885618225439
4556;337461.5469329999;325001.533834;1401.5890009886352
4557;336045.808541;324595.081632;1460.4038157105679
4558;339194.83352;325771.3753559999;1328.8430617582053
4559;340575.02402600006;326610.195063;1267.8820065178443
4560;341652.24137700006;328116.2934600001;1221.8834330985555
4561;345949.705544;331462.340575;1033.13521808316
4562;342330.768874;327560.582849;1196.2308882372454
4563;340806.730329;324888.51979;1264.2848895186326
4564;345985.762571;329970.225066;1036.1976344813593
4565;343384.95131199993;329603.684789;1149.9565431016963
4566;343452.335147;325318.751317;1149.8209248072235
4567;349475.048652;330683.54153999995;881.609949560836
4568;349627.403465;330663.593883;874.7603340869537
4569;341454.869867;328601.330216;1229.383038132568
4570;338213.491925;327961.413407;1372.3558964079712
4571;339223.768303;331071.28916;1328.0804882731754
4572;338997.79254;332298.456329;1333.2165239246096
4573;339216.720382;329438.88608;1327.4411080558784
4574;340238.785545;328743.870119;1282.3889810793335
4575;342478.789142;330023.850716;1185.3153527054237
4576;343858.994454;332665.122637;1125.3425489148358
4577;340369.862569;332288.815557;1276.315009267768
4578;343600.568839;333173.335383;1139.7880651978776
4579;343936.24549;335964.146759;1123.4213662216207
4580;342699.590098;334489.936101;1178.5388489228208
4581;345929.75674;332720.115835;1034.14384940546
4582;348454.86305800005;332583.20392799994;926.7344619921641
4583;348619.764278;331598.713863;920.9670843355125
4584;348561.0969;330734.673659;922.570603598957
4585;349734.790732;330804.541711;869.8018526567612
4586;346324.391319;326968.23432;1021.5160016973969
4587;350707.96478;327225.08732;828.4135289564729
4588;332174.384629;337199.88251;1632.9931846035179
4590;331947.860057;339260.123325;1682.7796542799333
4591;334120.002718;342590.388097;1549.2658505386207
4592;332712.414293;338786.29824100004;1654.7976287804777
4593;332062.066008;343589.631743;1652.066439836286
4594;336760.028952;347108.284765;1447.9901094556553
4595;331784.12601500005;345468.463514;1661.2301940348698
4596;338073.98575;349388.440172;1383.6226030053804
4597;330136.157306;347125.3050110001;1725.306105137337
4598;331032.179794;344138.794706;1687.3185445495183
4599;334198.805209;346712.511054;1554.787695125793
4600;331533.326088;350112.51612;1659.3636138942093
4601;331565.687295;344799.237741;1670.447921800078
4602;335142.930497;342389.455031;1501.3017579346197
4603;337548.102795;349191.185492;1406.650298651657
4604;334294.081833;347293.492089;1547.740261277184
4605;335757.714709;348100.655955;1487.671202544123
4606;332750.597233;349535.686386;1610.3907455429435
4607;330331.246512;347374.728242;1715.14501350082
4608;330854.110504;345142.789953;1695.131525858771
4609;330862.720344;345304.932604;1694.846622691257
4610;336498.770384;349108.595101;1451.9896507658996
4611;339015.642928;349229.850407;1342.8605197872967
4612;338494.422625;346832.979275;1366.7155789438402
4615;330719.651687;347987.693256;1700.1221971563064
4616;330879.245656;345961.687474;1692.8781193186296
4617;331548.75744;344614.741784;1671.8034475323511
4618;334663.030723;341835.087422;1524.1072974287672
4619;336599.458036;340193.648748;1473.9265173547901
4620;336035.315313;340826.737375;1474.6760341431946
4621;334185.49886;339121.275336;1561.6758075150428
4622;333836.523953;339543.817449;1567.1067572474713
4623;337065.81846900005;345234.526017;1429.7966301868437
4624;335116.765632;345221.348129;1521.6782658621669
4625;330227.084395;338516.438812;1718.6120902484981
4626;334287.2676;339851.021208;1552.415730084991
4627;332303.731493;342128.089926;1643.339723332203
4628;334338.883815;342764.281084;1539.3077360945754
4629;330916.479787;341693.815022;1691.2542808848666
4630;342951.112137;345098.349393;1163.1820259699598
4631;345982.675359;348464.114788;1026.2915514331544
4632;343138.701292;343563.981029;1156.0586725913454
4633;348991.89256899996;344797.059093;894.4418818526901
4634;345675.700782;340345.21906699997;1043.3822258131113
4635;344449.411694;343360.071646;1096.7859800150618
4636;341361.565199;341533.03175;1232.4705057138344
4637;345960.437652;347726.4331980001;1026.8358982685022
4638;346473.173631;343852.607572;1007.786619785009
4639;347679.56609;345231.95539;955.170567150577
4640;346938.563611;345860.55559;985.371018730104
4641;346007.957453;346305.07531;1025.0123496027663
4642;340579.970156;339466.036872;1264.4649173326325
4643;340717.763572;341354.613331;1262.0950632087188
4644;340942.047492;338775.387454;1247.3639892372303
4645;341932.588466;336654.277688;1209.0183933156077
4646;343436.317267;341768.087729;1143.3831255917903
4647;342443.461058;340805.715045;1184.0525523126125
4648;341586.403459;337088.565989;1220.5733924517408
4649;337961.307053;341596.154578;1385.5932381926104
4650;339648.3875559999;345513.810598;1314.655335629941
4651;338754.234132;342382.59444099996;1351.4439938345458
4652;336646.795766;344493.407236;1448.0775370493066
4654;342434.60395;349424.855197;1188.0129160446813
4655;344555.848579;349129.261834;1091.788138683769
4656;341140.656191;346629.082979;1246.119262402528
4657;341879.569169;346530.702084;1212.3852538089268
4658;337807.999115;344507.552762;1397.7276423422154
4659;338684.845202;346895.131818;1358.3859592755325
4660;341758.782048;344102.804451;1217.9974557711976
4661;343067.782985;343125.034621;1158.7198145725997
4662;339050.462746;338122.365747;1328.2918947084108
4663;340029.935285;341540.52751;1293.8777694406454
4664;338987.305788;338888.71413399995;1330.7090356670087
4665;336425.509443;337131.179413;1439.998702455312
4666;336296.257325;339093.83879;1501.7308387695812
4667;342269.399699;344014.255894;1194.5230537269963
4668;335060.536109;339493.596384;1544.4621474943124
4669;340015.114752;342328.3814;1293.0898203911493
4670;337506.246155;340998.06445;1426.6127686963882
4671;335629.163213;337020.250502;1486.01953091647
4672;338110.959769;339052.055925;1371.4307665855158
4681;354028.615613;320806.50427;688.4800574263791
4682;350929.423696;322005.639285;827.4414603440091
4691;349893.127387;320432.706531;876.230992114637
4692;351637.3795730001;322387.182412;795.2730225020787
4693;352538.948366;322236.009332;754.076345786918
4694;349716.3853830001;324768.433502;876.9479937226279
4695;347913.051392;324952.792097;954.4418376713293
4696;345042.711061;320954.216675;1086.586524079321
4698;343599.381124;320374.850612;1150.5911469653947
4699;346169.889656;320598.717258;1036.6419023975031
4701;347267.445152;321577.64248;991.0642783729127
4702;347018.741418;320853.364319;1003.5332802671473
4703;343337.784619;320643.205703;1160.2741863937117
4704;347220.634734;325343.279456;988.2589346619789
4705;347441.41977;323845.883131;984.1096295400057
4706;351719.558683;325162.538725;787.4272226536414
4707;349851.611175;322605.063661;875.4285125929164
4708;350859.296268;325686.199871;825.440169432899
4709;350626.713552;326443.908467;834.6250499405432
4710;348201.607638;324162.568366;945.3148179674754
4711;354687.824796;326219.238169;649.0525562124094
4712;352494.38085300004;323295.498113;754.5075341364136
4713;352170.23740899994;322148.242952;770.308197362232
4719;344849.14701499994;321677.807243;1092.1768914905842
4725;340958.397943;326280.256446;1255.0010611051694
4726;339002.680453;322379.01722399995;1339.4877238848712
4727;341403.192958;321728.707924;1240.678243845352
4728;341221.555637;322534.916133;1247.1841698607896
4729;342115.448003;323480.612849;1209.8237623018213
4730;339044.499112;326564.217687;1338.9572038286133
4731;337042.845425;323275.338045;1421.1074667718494
4732;338705.853651;323385.27020200004;1352.4792398175923
4733;336060.675573;320404.797881;1461.6797007628484
4735;337650.750909;320266.20337199996;1399.4846913669026
4737;343369.220955;322644.501733;1158.037493115873
4738;344036.490356;323861.820823;1127.3659321806626
4739;344414.365943;322435.017247;1111.2899648626335
4741;340467.504241;322505.012091;1282.3258066823473
4742;338029.206032;322388.007817;1380.2503375207307
4743;339086.887557;322357.660311;1335.341541325557
4744;341536.476812;322570.28692;1234.2722024492687
4747;340565.26991499995;321193.1635380001;1277.2074122048216
4754;335375.335575;325034.712526;1487.9254424653482
4755;330486.323773;322548.211469;1690.1512274929555
4756;334258.67148600006;322520.047162;1537.9295131324325
4757;336021.435004;323703.423624;1464.1894380953163
4758;335852.173034;335490.989658;1457.5643481323496
4759;337988.397946;335224.553755;1369.845261828974
4760;346602.041613;332230.193384;1006.0012581816409
4761;352490.621605;335559.78348499996;743.3367983083008
4762;351980.878013;334641.853002;770.2862457914744
4763;349768.31839;335411.309488;865.7310099354945
4764;347956.901861;333260.03019799996;951.8807653521653
4765;346795.618006;335490.688057;996.4370457383338
4766;348099.860417;334950.59679999994;940.5450413670624
4767;347673.543402;335799.75899;958.8807086482411
4768;344462.346776;338940.742259;1098.6051977764582
4769;338449.988239;341452.780731;1365.1585474847816
4770;338114.586131;343109.640716;1383.1944607102778
4771;337167.200039;342366.400204;1422.6354228662094
4772;337887.020198;344269.456757;1394.703819211456
4774;340586.53916200006;347268.096399;1271.5533615853637
4775;336079.870207;332789.76898199995;1458.3965496377787
4776;338661.758709;333532.66908;1347.293311880203
4777;338805.974461;336544.763083;1334.2926915956195
4778;333065.511265;334315.883411;1582.4146897193277
4779;331219.43732300005;333056.002755;1683.3030942698242
4782;331360.3964530001;335970.26625;1662.1016279177275
4783;331183.385263;334814.930237;1666.4817194914212
4784;335806.57977;334399.884404;1462.9574141192716
4785;336088.697083;337355.604697;1469.9075789385242
4786;336211.399803;338894.662752;1502.7257699647453
4787;333485.203261;336833.610302;1568.7492572267074
4788;339157.497441;336819.353232;1316.6501952576218
4789;341220.694206;334757.164393;1241.3069501584396
4790;340419.72561100003;336217.625278;1273.3721576335374
4791;339514.876104;338711.21413;1307.1567222733283
4792;351331.87832;326034.732685;804.6211800372694
4793;349754.886429;324762.2065309999;875.2261903651524
4794;348393.223424;325061.929242;934.406863671029
4795;348906.0531620001;326768.613996;909.4248201386072
4796;351806.183202;330518.553268;776.9205049617449
4797;349574.980016;327359.002785;881.8996587132569
4798;351617.082316;329281.583884;786.1172202329617
4799;351415.868555;329889.095378;795.5563907548785
4800;351249.434267;332794.143142;803.9683770830743
4801;350380.111282;330566.436124;840.3313217756804
4802;341136.302999;334196.03295599995;1245.351703039254
4803;344890.944536;335246.269974;1080.40856777085
4804;340523.8653100001;333594.334833;1270.4487234178232
4805;341014.320847;335386.671291;1247.227598273661
4806;342947.573398;335533.774643;1168.1632297285832
4807;341421.9541769999;335458.841347;1233.1453453944996
4808;343078.807806;332151.82655;1161.23980852589
4809;342838.91089799994;331896.678155;1171.9362649206305
4810;341794.409486;338274.690985;1210.6898510053288
4811;342329.85469;338376.829788;1187.93083050719
4812;340506.913734;336254.953065;1270.7012438048841
4813;346114.668362;334274.21789;1026.4905200848589
4814;345268.948925;335463.2618890001;1062.3994524060981
4815;346771.869453;338809.668364;996.6903665425489
4816;347920.787942;341405.325174;944.7524191219127
4817;344165.494389;337633.275283;1111.2333028938156
4818;348935.542487;338835.476716;901.8319355928106
4819;348551.412429;339355.877523;918.0806735344231
4820;347124.201202;342010.088969;977.0343176729511
4821;348804.506746;342309.094888;902.285124257789
4823;340623.910099;347735.671414;1269.875207275385
4824;335744.868793;347389.061913;1489.1350615319097
4825;352122.863666;342283.339094;758.4056936874986
4826;350417.298337;342096.264194;831.9869471450802
4827;350632.954118;343842.296989;822.2485676493961
4828;349879.858006;344242.557861;852.6115393651417
4829;350008.297599;345204.472478;846.4904288133839
4830;347480.439799;343352.657418;962.9689710893435
4831;351068.564419;345828.596892;799.7980542834848
4832;351131.593182;343861.440658;799.3660054525826
4833;349411.489814;346362.3994110001;873.2176366698695
4834;346253.689174;345217.025544;1014.4126934297383
4835;353161.3913920001;348806.929918;702.9028590861708
4836;350252.650386;347676.731468;835.2541553855408
4837;349169.313086;345546.791183;885.5202888379572
4838;345294.201137;349356.809087;1058.5917678964324
4839;344796.036099;346725.164689;1079.947400716017
4840;350553.189195;347879.553338;821.4677487666486
4845;329987.534789;339001.556808;1728.1924333915813
4851;330372.7366129999;344937.725639;1713.8160027973354
4854;330209.6038820001;348567.44619;1720.4339422783814
4865;349910.987658;336393.755085;858.2033965640003
4866;352438.149085;331084.435863;747.5921149782371
4867;350040.295101;331323.14519199997;856.1992492922582
4868;351347.942362;334394.461753;798.9863932087319
4869;349251.733733;336699.235809;891.1880504639121
4870;350061.785101;334128.55643699993;855.1926821543602
4871;354045.02791;340667.067354;673.5764655064559
4872;349916.19860500004;340191.798205;859.3115851409966
4873;350193.342697;339475.618979;847.5178683943814
4874;352224.429253;344597.632275;750.5404560297029
4875;350442.641779;338674.647571;834.8169989873422
4876;353169.434501;342702.932849;710.0473864084342
4877;351846.357306;343480.366682;768.7274621166289
4878;350272.193985;349471.57498900004;833.9976494889706
4879;343940.250179;347739.133861;1119.3468331777258
4880;347203.207419;348270.414404;971.8191692306427
