OBJECTID_1;NG;EG;delta_g0''
4514;338271.4144339999;330451.811214;1410.5760790229542
4515;333095.150515;326592.613806;1627.9961439962499
4516;330999.833624;328288.843995;1722.802949675708
4517;331235.490423;326897.174467;1712.3938631132478
4518;331064.54866;327556.665576;1719.5661642363993
4519;334519.332016;329440.712239;1572.751167614013
4520;331113.141163;327437.914405;1717.5149974336382
4524;333361.293637;330593.752156;1625.185011337977
4525;335478.720292;332082.354215;1535.0551019905834
4526;332684.725733;331982.058891;1649.6704824273475
4527;331195.744298;335564.176716;1728.2193455598317
4529;332275.932969;338038.025948;1741.453690780094
4532;330361.226991;341490.398586;1768.692207066575
4535;331517.211107;335920.730811;1714.0192554042442
4537;336058.757433;328969.711104;1507.8704550800612
4538;337300.852002;333386.851905;1449.454495086451
4539;336585.769586;332122.579085;1478.9114968613721
4540;335751.036631;329359.04374600004;1519.915756385075
4541;337606.354645;334340.586156;1436.7720764827682
4542;338136.557126;336985.7022589999;1401.137338169734
4543;333973.210859;331663.35633399995;1595.5060658544535
4545;334702.0210499999;333075.704682;1566.109797717072
4546;340749.970963;327464.60394;1301.681260869489
4547;343485.588064;326749.31023;1192.2494554163422
4548;345107.646486;325961.476777;1118.8485428476706
4549;346368.525875;325261.36716;1064.511610075133
4550;345269.758843;324687.82181;1120.3476913530612
4551;347302.211761;326751.81898100005;1022.3044219934382
4552;341416.272903;322416.364307;1287.2641857869457
4553;341792.203266;324027.864056;1268.3882135432214
4554;344599.797974;327233.8643240001;1159.2817575468216
4555;343414.62156199996;328595.498679;1195.4733119991142
4556;337461.5469329999;325001.533834;1446.955915915314
4557;336045.808541;324595.081632;1506.8579928075196
4558;339194.83352;325771.3753559999;1373.685632722103
4559;340575.02402600006;326610.195063;1309.3239523627562
4560;341652.24137700006;328116.2934600001;1263.4236047576414
4561;345949.705544;331462.340575;1069.2022938887822
4562;342330.768874;327560.582849;1241.93237513036
4563;340806.730329;324888.51979;1312.4494044955354
4564;345985.762571;329970.225066;1077.1715587943327
4565;343384.95131199993;329603.684789;1193.803758470458
4566;343452.335147;325318.751317;1194.909375198651
4567;349475.048652;330683.54153999995;918.8431104449555
4568;349627.403465;330663.593883;911.896560446592
4569;341454.869867;328601.330216;1270.0030751927989
4570;338213.491925;327961.413407;1420.1111724164803
4571;339223.768303;331071.28916;1372.3947175906505
4572;338997.79254;332298.456329;1374.9027624246664
4573;339216.720382;329438.88608;1372.784445591038
4574;340238.785545;328743.870119;1324.4974559161346
4575;342478.789142;330023.850716;1225.7261811714852
4576;343858.994454;332665.122637;1164.043014941737
4577;340369.862569;332288.815557;1318.4676208063029
4578;343600.568839;333173.335383;1182.0513571581105
4579;343936.24549;335964.146759;1162.845988858142
4580;342699.590098;334489.936101;1221.0374353559455
4581;345929.75674;332720.115835;1070.1418494054815
4582;348454.86305800005;332583.20392799994;964.0545750920428
4583;348619.764278;331598.713863;959.8637251916807
4584;348561.0969;330734.673659;960.0686798556708
4585;349734.790732;330804.541711;906.7657940806821
4586;346324.391319;326968.23432;1062.8263171727303
4587;350707.96478;327225.08732;866.3716464050813
4588;332174.384629;337199.88251;1701.4031951602083
4590;331947.860057;339260.123325;1793.828648720053
4591;334120.002718;342590.388097;1598.1496873361757
4592;332712.414293;338786.29824100004;1780.2684638800565
4593;332062.066008;343589.631743;1709.6652521691285
4594;336760.028952;347108.284765;1487.515281005064
4595;331784.12601500005;345468.463514;1708.7252099741017
4596;338073.98575;349388.440172;1417.3410711321048
4597;330136.157306;347125.3050110001;1768.088523350074
4598;331032.179794;344138.794706;1733.0696977439802
4599;334198.805209;346712.511054;1592.2452302413294
4600;331533.326088;350112.51612;1695.829770346405
