OBJECTID_1;NG;EG;delta_g0'
4698;343599.381124;320374.850612;1174.4869999999646
4699;346169.889656;320598.717258;1058.4419999999227
4701;347267.445152;321577.64248;1014.8219999999274
4702;347018.741418;320853.364319;1027.7119999999413
4703;343337.784619;320643.205703;1183.6650000000373
4704;347220.634734;325343.279456;1011.4120000000112
4705;347441.41977;323845.883131;1009.625
4706;351719.558683;325162.538725;807.6620000000112
4707;349851.611175;322605.063661;897.6130000000121
4708;350859.296268;325686.199871;845.7119999999413
4709;350626.713552;326443.908467;854.6909999999916
4710;348201.607638;324162.568366;967.3079999999609
4711;354687.824796;326219.238169;667.8339999999152
4712;352494.38085300004;323295.498113;774.4070000000065
4713;352170.23740899994;322148.242952;790.3190000000177
4719;344849.14701499994;321677.807243;1113.908000000054
4725;340958.397943;326280.256446;1277.378000000026
4726;339002.680453;322379.01722399995;1363.5259999999544
4727;341403.192958;321728.707924;1264.8249999999534
4728;341221.555637;322534.916133;1271.1010000000242
4729;342115.448003;323480.612849;1233.734000000055
4730;339044.499112;326564.217687;1363.384999999893
4731;337042.845425;323275.338045;1445.4919999999693
4732;338705.853651;323385.27020200004;1376.826999999932
4733;336060.675573;320404.797881;1487.8830000000307
4735;337650.750909;320266.20337199996;1426.4760000000242
4737;343369.220955;322644.501733;1182.033999999985
4738;344036.490356;323861.820823;1150.6319999999832
4739;344414.365943;322435.017247;1133.765000000014
4741;340467.504241;322505.012091;1308.216999999946
4742;338029.206032;322388.007817;1404.5370000000112
4743;339086.887557;322357.660311;1359.030999999959
4744;341536.476812;322570.28692;1258.1990000000224
4747;340565.26991499995;321193.1635380001;1302.2870000000112
4754;335375.335575;325034.712526;1511.1779999999562
4755;330486.323773;322548.211469;1717.1060000000289
4756;334258.67148600006;322520.047162;1565.701000000001
4757;336021.435004;323703.423624;1489.341999999946
4758;335852.173034;335490.989658;1483.1649999999208
4759;337988.397946;335224.553755;1393.500999999931
4760;346602.041613;332230.193384;1024
4761;352490.621605;335559.78348499996;760.4660000000149
4762;351980.878013;334641.853002;789.7359999999171
4763;349768.31839;335411.309488;882.9470000000438
4764;347956.901861;333260.03019799996;972.1030000000028
4765;346795.618006;335490.688057;1013.7810000000754
4766;348099.860417;334950.59679999994;958.0509999999776
4767;347673.543402;335799.75899;976.2090000000317
4768;344462.346776;338940.742259;1117.2489999999525
4769;338449.988239;341452.780731;1388.155000000028
4770;338114.586131;343109.640716;1402.3110000001034
4771;337167.200039;342366.400204;1445.8340000000317
4772;337887.020198;344269.456757;1412.4790000000503
4774;340586.53916200006;347268.096399;1288.6570000000065
4775;336079.870207;332789.76898199995;1483.121999999974
4776;338661.758709;333532.66908;1369.7390000000596
4777;338805.974461;336544.763083;1355.7960000000894
4778;333065.511265;334315.883411;1607.390000000014
4779;331219.43732300005;333056.002755;1721.423999999999
4782;331360.3964530001;335970.26625;1691.6960000001127
4783;331183.385263;334814.930237;1693.8009999999776
4784;335806.57977;334399.884404;1486.7550000000047
4785;336088.697083;337355.604697;1511.4739999999292
4786;336211.399803;338894.662752;1564.7449999999953
4787;333485.203261;336833.610302;1600.2750000000233
4788;339157.497441;336819.353232;1336.4679999999935
4789;341220.694206;334757.164393;1263.0969999999506
4790;340419.72561100003;336217.625278;1293.3610000000335
4791;339514.876104;338711.21413;1327.0499999999302
4792;351331.87832;326034.732685;825.2630000000354
4793;349754.886429;324762.2065309999;895.5720000000438
4794;348393.223424;325061.929242;955.4640000000363
4795;348906.0531620001;326768.613996;929.3240000000224
4796;351806.183202;330518.553268;795.3669999999693
4797;349574.980016;327359.002785;902.7909999999683
4798;351617.082316;329281.583884;804.7719999999972
4799;351415.868555;329889.095378;814.515000000014
4800;351249.434267;332794.143142;823.8960000000661
4801;350380.111282;330566.436124;858.4100000000326
4802;341136.302999;334196.03295599995;1266.9280000000726
4803;344890.944536;335246.269974;1099.1670000000158
4804;340523.8653100001;333594.334833;1291.6900000000605
4805;341014.320847;335386.671291;1267.5920000000624
4806;342947.573398;335533.774643;1189.3669999999693
4807;341421.9541769999;335458.841347;1254.9449999999488
4808;343078.807806;332151.82655;1181.780000000028
4809;342838.91089799994;331896.678155;1192.719999999972
4810;341794.409486;338274.690985;1228.689000000013
4811;342329.85469;338376.829788;1205.9299999999348
4812;340506.913734;336254.953065;1291.1169999999693
4813;346114.668362;334274.21789;1044.4899999999907
4814;345268.948925;335463.2618890001;1080.2920000000158
4815;346771.869453;338809.668364;1014.0179999999236
4816;347920.787942;341405.325174;962.0799999999581
4817;344165.494389;337633.275283;1129.966000000015
4818;348935.542487;338835.476716;919.1310000000522
4819;348551.412429;339355.877523;935.219000000041
