ID,NG,EG,H,g,B,L,delta_gh,go_prim,delta_go_prim,delta_gB,g0e,delta_g0e,TCR,delta_gB_TCR,g0'',delta_g0''
1380,326156.755834,356493.778322,155.0,981144.72918074,51.04890336676523,16.51901314805508,47.833,981192.56218074,1961802.2442794016,49.565789949999996,981194.2949706899,584.6128720282577,3.170952752427252e-09,46.100210053170954,981190.8293907931,581.1472921314416
1380,326156.755834,356493.778322,155.0,981144.72918074,51.04890336676523,16.51901314805508,47.833,981192.56218074,1961802.2442794016,49.565789949999996,981194.2949706899,584.6128720282577,6.341905504854504e-09,46.10021005634191,981190.8293907963,581.1472921345849
1380,326156.755834,356493.778322,155.0,981144.72918074,51.04890336676523,16.51901314805508,47.833,981192.56218074,1961802.2442794016,49.565789949999996,981194.2949706899,584.6128720282577,9.512858257281756e-09,46.10021005951286,981190.8293907995,581.1472921378445
1380,326156.755834,356493.778322,155.0,981144.72918074,51.04890336676523,16.51901314805508,47.833,981192.56218074,1961802.2442794016,49.565789949999996,981194.2949706899,584.6128720282577,1.2683811009709008e-08,46.100210062683814,981190.8293908027,581.1472921409877
1380,326156.755834,356493.778322,155.0,981144.72918074,51.04890336676523,16.51901314805508,47.833,981192.56218074,1961802.2442794016,49.565789949999996,981194.2949706899,584.6128720282577,1.585476376213626e-08,46.10021006585477,981190.8293908058,581.1472921441309
1381,325212.808849,353344.511532,184.0,981139.5897867528,51.02031549004879,16.50707520941231,56.782399999999996,981196.3721867529,1961657.9186522637,58.83938936,981198.4291761129,736.882710602018,1.9025716514563512e-08,54.72541065902571,981194.3151974118,732.7687319009565
1381,325212.808849,353344.511532,184.0,981139.5897867528,51.02031549004879,16.50707520941231,56.782399999999996,981196.3721867529,1961657.9186522637,58.83938936,981198.4291761129,736.882710602018,2.2196669266990764e-08,54.72541066219666,981194.3151974151,732.7687319042161
1381,325212.808849,353344.511532,184.0,981139.5897867528,51.02031549004879,16.50707520941231,56.782399999999996,981196.3721867529,1961657.9186522637,58.83938936,981198.4291761129,736.882710602018,2.5367622019418016e-08,54.72541066536761,981194.3151974182,732.7687319073593
1381,325212.808849,353344.511532,184.0,981139.5897867528,51.02031549004879,16.50707520941231,56.782399999999996,981196.3721867529,1961657.9186522637,58.83938936,981198.4291761129,736.882710602018,2.853857477184527e-08,54.725410668538565,981194.3151974214,732.7687319105025
1381,325212.808849,353344.511532,184.0,981139.5897867528,51.02031549004879,16.50707520941231,56.782399999999996,981196.3721867529,1961657.9186522637,58.83938936,981198.4291761129,736.882710602018,3.170952752427252e-08,54.72541067170952,981194.3151974245,732.7687319136458
1382,322213.924236,355608.10341,175.0,981143.2416343064,51.03973696838099,16.46323681344888,54.004999999999995,981197.2466343064,1961759.3996706763,55.961375749999995,981199.2030100564,637.0499736863421,3.4880480276699776e-08,52.048624284880475,981195.2902585913,633.1372222212376
1382,322213.924236,355608.10341,175.0,981143.2416343064,51.03973696838099,16.46323681344888,54.004999999999995,981197.2466343064,1961759.3996706763,55.961375749999995,981199.2030100564,637.0499736863421,3.8051433029127025e-08,52.04862428805143,981195.2902585944,633.1372222243808
1382,322213.924236,355608.10341,175.0,981143.2416343064,51.03973696838099,16.46323681344888,54.004999999999995,981197.2466343064,1961759.3996706763,55.961375749999995,981199.2030100564,637.0499736863421,4.1222385781554273e-08,52.04862429122238,981195.2902585976,633.137222227524
1382,322213.924236,355608.10341,175.0,981143.2416343064,51.03973696838099,16.46323681344888,54.004999999999995,981197.2466343064,1961759.3996706763,55.961375749999995,981199.2030100564,637.0499736863421,4.439333853398152e-08,52.048624294393335,981195.2902586007,633.1372222306672
1382,322213.924236,355608.10341,175.0,981143.2416343064,51.03973696838099,16.46323681344888,54.004999999999995,981197.2466343064,1961759.3996706763,55.961375749999995,981199.2030100564,637.0499736863421,4.756429128640877e-08,52.04862429756429,981195.290258604,633.1372222339269
1383,321851.081243,353172.9797809999,181.2052592122517,981138.937212194,51.0177417759014,16.459262409787,55.91994299290087,981194.8571551868,1961643.0872732264,57.9456891351598,981196.8829013291,748.6527832895517,5.073524403883603e-08,53.894196901377185,981192.8314090953,744.6012910557911
1383,321851.081243,353172.9797809999,181.2052592122517,981138.937212194,51.0177417759014,16.459262409787,55.91994299290087,981194.8571551868,1961643.0872732264,57.9456891351598,981196.8829013291,748.6527832895517,5.390619679126328e-08,53.89419690454814,981192.8314090985,744.6012910589343
1383,321851.081243,353172.9797809999,181.2052592122517,981138.937212194,51.0177417759014,16.459262409787,55.91994299290087,981194.8571551868,1961643.0872732264,57.9456891351598,981196.8829013291,748.6527832895517,5.707714954369053e-08,53.89419690771909,981192.8314091017,744.6012910621939
1383,321851.081243,353172.9797809999,181.2052592122517,981138.937212194,51.0177417759014,16.459262409787,55.91994299290087,981194.8571551868,1961643.0872732264,57.9456891351598,981196.8829013291,748.6527832895517,6.024810229611778e-08,53.894196910890045,981192.8314091049,744.6012910653371
1384,320704.92315,353648.931404,177.0,981139.5420530756,51.02166236184829,16.44269799008434,54.6222,981194.1642530756,1961662.6812226092,56.60093433,981196.1429874056,727.6260178718949,6.341905504854503e-08,52.643465733419056,981192.185518809,723.6685492752586
1384,320704.92315,353648.931404,177.0,981139.5420530756,51.02166236184829,16.44269799008434,54.6222,981194.1642530756,1961662.6812226092,56.60093433,981196.1429874056,727.6260178718949,6.659000780097228e-08,52.64346573659,981192.1855188123,723.6685492785182
